file_id,signal__n_samples,signal__mean,signal__std,signal__rms,signal__min,signal__max,signal__range,signal__skewness,signal__kurtosis,difference__std,difference__rms,difference__mean_abs,difference__max_abs,signal__zero_crossing_rate,signal__q001,signal__q005,signal__q01,signal__q05,signal__q10,signal__q25,signal__median,signal__q75,signal__q90,signal__q95,signal__q99,signal__q995,signal__q999,absolute_centered__q50,absolute_centered__q75,absolute_centered__q90,absolute_centered__q95,absolute_centered__q99,absolute_centered__q995,absolute_centered__q999,absolute_centered__q9999,block_range__mean,block_range__std,block_range__min,block_range__q10,block_range__q25,block_range__median,block_range__q75,block_range__q90,block_range__q95,block_range__q99,block_range__max,rainflow__cycle_count,rainflow__maximum_range,rainflow__mean_range,rainflow__std_range,rainflow__mean_cycle_stress,rainflow__range_q50,rainflow__range_q75,rainflow__range_q90,rainflow__range_q95,rainflow__range_q99,rainflow__range_q999,rainflow__miner_proxy_m3,rainflow__equivalent_amplitude_m3,rainflow__miner_proxy_m4,rainflow__equivalent_amplitude_m4,rainflow__miner_proxy_m5,rainflow__equivalent_amplitude_m5,rainflow__miner_proxy_m6,rainflow__equivalent_amplitude_m6,rainflow__miner_proxy_m7,rainflow__equivalent_amplitude_m7
train01.csv,581120.0,5.935076837195951,8.63142014337503,10.475044188683889,-19.34373,39.39125,58.73498,-0.30433240383150184,0.014220077753871685,0.841824219049292,0.8418242191897826,0.6555962488779097,7.77151747,0.0400107379039405,-17.011843,-16.023605,-15.473143,-10.280573,-5.7338233,1.1274768,5.877941,12.123761,16.622833,19.721903,23.692183,25.13986,29.335526,5.7595821628040484,9.70385516280405,14.642274837195952,17.76144116280405,21.62493783719595,22.18682716280405,23.947641210196174,31.12429316280405,16.87923762572656,8.731228576684709,2.336223500000001,2.9993809999999996,10.70479925,16.25387025,23.205108924999998,28.44037179,30.428761049999995,36.159788290000016,37.934367,179168.0,58.73498,1.0631905154706254,1.1517227721070165,5.856656781957908,0.7801869999999997,1.3349849999999996,2.0024770000000007,2.661301,4.876161,13.159133299999999,408161.89139278664,1.3158023851775584,4382418.516531555,2.223890251078835,76393253.99224658,3.357058526158991,1634078445.2237368,4.5709037449552525,38693890136.03499,5.7816868302416005
train02.csv,581120.0,-7.732027950401875,10.75398131980988,13.245088540761653,-37.650806,25.297182,62.947988,0.1793836352945813,0.7433073793499303,0.5247498620304306,0.5247498624656393,0.39134608853421754,15.8549847,0.03326857321822208,-32.552383893,-30.609812,-29.840237,-27.880156,-25.715986,-11.272601,-8.015717,-3.8021774,5.1053557,12.580031,21.151672,21.717163,22.911919,3.615216650401875,12.063555650401874,20.156631049598126,22.439849049598124,28.883699950401876,29.449190950401874,30.643946950401876,31.621860950401874,13.937054618671876,9.054762690891291,1.8495355999999994,2.25133089,7.727657499999999,12.260081,19.288317585,26.7281288,32.5411971,37.44310404000001,38.976304999999996,165818.0,62.947988,0.6857477705162167,0.9907842355866604,-7.708126244294667,0.4379349999999995,0.8673690000000001,1.4158511000000003,1.9600829999999991,4.341093900000001,10.212838999999999,296909.81236986164,1.214313880360822,4641921.415198404,2.300204918729359,108135203.18729576,3.6548291964603847,2847750564.4169564,5.079391786061434,78672777367.69789,6.469708106780106
train03.csv,581120.0,1.926783167282217,9.019780884320642,9.223282527109216,-28.079456,29.944937,58.024393,-0.1916012186416521,0.6611572628226274,0.6692390464392846,0.669239046458161,0.520277499314075,7.16004106,0.08404474814969051,-24.308107,-23.440739,-22.896507,-14.864844,-8.776259,-2.5941331,1.9638029,5.9562488,15.420769,18.465061,21.373297,22.03658,23.97489689300022,4.271818532717783,10.052515167282216,16.583715817282364,19.263686832717784,24.823290167282217,25.448306167282215,26.33693316728222,27.43389716728222,13.839329545624999,9.248007990848153,2.4958101,2.7169040640000004,5.80690425,13.6801861,18.909906499999998,25.350968401999992,28.949484799999997,40.23904725000001,49.48677,173099.0,58.024393,0.8733243407642333,1.0453584056287366,1.9443545847202988,0.6505266000000001,1.088462999999999,1.7389885,2.1726730000000014,4.6727346,11.326811000000001,324660.33966775535,1.2332323065062938,4125293.4438367477,2.2094799856805865,82782590.99591322,3.435017004023655,1936582230.0365171,4.729227764475515,48101326911.59491,5.993695044851027
train04.csv,581120.0,-2.4779050628525248,6.969851630661143,7.397218751256446,-54.09785,38.48947,92.58732,0.11237932304285031,0.20642085342756955,0.8350372397472205,0.8350372397614809,0.6488027439783728,14.698495999999999,0.04228565921954023,-21.709317179,-19.653973,-18.591022,-14.3137045,-11.14611,-6.83903,-2.5957277,1.4945098,7.0516205,9.751516,14.016078,15.716801,19.857553012000224,4.2335709371474755,8.102713937147476,12.048390937147476,14.304304062852525,17.560719588968418,18.981291062852524,22.705871062852523,29.42682924814494,24.010645857898435,15.07157105106142,2.716903975,2.9337460485,13.637667700000002,23.091559,31.902361324999998,41.7888752,48.46314639999999,71.51958396000002,76.349677,171863.5,92.58732,1.096892597258778,1.750810536317917,-2.5493127390778203,0.7610729999999997,1.1990093000000002,1.9600825,3.0485448,7.8318270000000005,21.667203,1470779.3527540825,2.0454457124477674,25951222.84589564,3.505448118010037,669246874.3785464,5.224930763661108,21348576816.97797,7.063677769908695,774335539847.154,8.923496902703933
train05.csv,581120.0,3.0745978793732656,8.83038255181263,9.350337327134435,-19.364319,29.429405,48.793724,0.07648351309656974,0.26079372561698655,0.4761608002034279,0.47616080020375257,0.3693749621958979,7.802064,0.033232436041499246,-17.51053,-16.430573,-15.563205,-13.177941,-10.580088,-0.38000515,2.9789214,7.855743,13.825279,20.105196,24.65888,25.419954,26.393618,3.9988342393732657,10.304241620626733,16.367337879373267,18.548492120626737,21.584282120626735,22.345356120626736,23.319020120626735,23.973797120626735,11.491302846562501,8.569375370264916,1.8495355,1.9600826000000002,2.7424146,10.35739885,15.123673425,24.497630199999996,28.489863699999987,36.22062349800001,36.756862,176329.5,48.793724,0.6086639179953383,0.7104890876977801,3.1364875542856616,0.43793600000000055,0.7653248000000001,1.1990089999999993,1.5221464999999998,2.70840043,7.3811350000000004,154029.4061171845,0.9559302868686965,2177948.031611363,1.8746950565631746,42001513.08737132,2.9880509053940734,885131787.0924562,4.1379047892389345,19382057731.84184,5.249930548101262
train06.csv,581120.0,-6.8977824869157445,10.94057002207665,12.933502064203795,-44.113018,40.77429,84.88730799999999,0.08075371938619093,0.6637826604953263,0.6476328432072486,0.6476328433993609,0.4874982258352489,17.806563999999998,0.036624168199628646,-34.11277,-32.284492,-31.306578,-27.394917,-24.231573,-10.991449,-6.5313053,-2.9597883,6.2708826,13.528716,21.687931,22.767889,23.639511,4.044288986915745,12.186497486915744,20.492884513084256,23.966610513084255,28.675000486915746,29.665671486915745,30.537293486915743,31.187817486915744,18.63755899974219,12.198020041910306,1.7432401999999998,2.03874156,11.047254625,17.755542499999997,24.0237679,32.02077579,40.85900475,57.06688751,69.117361,164690.0,84.88730799999999,0.8600840412264072,1.4129147992629127,-6.773282023976298,0.5442309999999999,0.9779153000000003,1.632692999999998,2.7126520000000003,6.428731,15.867740399999999,746894.6090781825,1.6552516587011246,12962539.8323615,2.978555649467911,345051123.0955593,4.615760253961389,10924602089.848112,6.362430719278852,376170034803.8912,8.098193286759651
train07.csv,581120.0,-0.013323069124955393,7.273800356599723,7.273812558200903,-24.620083,21.027306,45.647389000000004,0.12964238239783446,0.5945682445937823,0.5696482651283292,0.5696482651749413,0.45106427450619235,6.6328176999999995,0.01622215071267675,-20.295996,-19.024706,-18.480474,-13.599401,-7.298225,-3.2717648,-1.0990919,3.1399589,12.043241,14.20741,15.950651,16.592674,18.30615,3.2499379308750447,7.477368569124955,14.114437069124957,15.639700930875044,18.569194930875046,19.113425930875046,20.316686930875047,22.991072930875045,10.154276013203123,7.049197189117505,1.5263983700000001,1.743240421,3.9414229249999986,10.302125870000001,13.70888555,19.6586502,23.276937489999987,29.273344135000006,34.090982,177914.0,45.647389000000004,0.7366537207211461,0.718532789327353,0.029888247822487213,0.6505263000000001,0.9779153000000003,1.3053050000000006,1.6369453999999999,3.0442932000000003,7.4831786000000005,127370.22550134544,0.8945801650059833,1306994.7780730466,1.6463263608092167,20961925.18093956,2.595638507650134,382483384.5219091,3.592530039921165,7358043346.362822,4.565700924699609
train08.csv,581120.0,1.3630155787564413,8.907250103750018,9.010933130297186,-25.758049,28.776934,54.534983,-0.22915262093712946,0.6894858680102698,0.7282744722054155,0.7282744722258249,0.5572180311310764,10.2291021,0.01433441343339316,-23.101084,-20.444118,-19.672602,-16.785913,-12.243498,-2.9549534,3.2648609,4.690867,10.667956,18.292105,22.717493,23.502012,27.11254,3.440545121243559,8.94952242124356,17.706825578756444,19.813325578756444,22.013300421243557,23.34828442124356,25.862217421243557,26.746428421243557,12.13629068765625,8.422674492215092,2.1108359999999995,2.4445819999999996,2.7783282,12.72136145,18.26068115,23.320619889999996,25.20606766,34.21322478000002,36.204955,178412.5,54.534983,0.9074756113861417,0.9783040600905266,1.3468219181807162,0.6674924999999989,1.2179570000000002,1.7770894,2.2235292999999996,4.3300312,10.311456000000002,264990.8826883594,1.1409550922073655,3017753.7464632597,2.0279844925438426,58180587.2068661,3.1817830525251996,1328190050.9630954,4.418815044855637,32295309262.47856,5.637700807152527
train09.csv,581120.0,3.968364001449333,2.8841222881098316,4.905718522374767,-15.130052,31.197628,46.32768,-0.17034834665231938,1.0967857756209884,0.6485443902876801,0.6485443902944161,0.5072969772912468,5.969536999999999,0.061078711933356164,-7.1834264,-4.691868,-3.4971106,-0.79296184,0.29975232,2.1322806,4.0923634,5.954654,7.234448,8.225119,10.703921,12.009226,15.15131,1.9522759985506668,3.0449899985506668,4.531728301449333,5.540799998550668,8.439137701449333,9.633895601449332,12.360026005895904,16.343340947023616,13.431588036234377,7.919637770381152,2.181176,2.4754012,6.7380493225,13.44846235,17.90010210675,23.19912878,25.881592639999997,37.03352855000001,38.393808,179333.0,46.32768,0.8219343683162386,0.9952136831375138,3.962545116799764,0.6547776999999999,0.9821679999999997,1.5263982999999999,1.9600827,4.34109406,12.4662949,258838.7891550437,1.1301160649766822,2084181.6517025023,1.8463704402573127,25015318.964825757,2.6847828579148545,377030324.95854235,3.5792003683431144,6552142934.464554,4.485569527580015
train10.csv,581120.0,-3.144712691729918,15.500436437273633,15.816217868361809,-51.528698,36.99815,88.526848,-0.08348501534782266,0.8941312918163469,0.6283614216523129,0.628361421653966,0.4884634953493828,10.7995874,0.05690744924877693,-49.462322,-43.33122,-42.55314,-35.371838,-20.45225,-7.9264297,-3.7724147,3.7362745,19.395678,28.00133,31.279472,32.151093,33.81304377400022,5.762762291729918,14.616144308270083,31.371389691729917,34.42546387744285,39.41267730827008,40.18650730827008,46.31760930827008,47.40606730827008,15.665081620601562,12.59596786769603,1.9558310000000008,2.25260672,2.4022704499999996,14.928090499999998,23.881330849999998,32.1959492,41.30926937999997,47.69063564100001,49.108357999999996,169654.0,88.526848,0.8365715454806194,1.1344985682008766,-3.1976485349766675,0.6505260000000002,0.9821673,1.5221472999999994,2.1726723,4.893829,11.892301,602906.0433772069,1.526025688797563,15025463.971916733,3.067721619237982,524588801.2641593,4.989430555004757,20022846638.24667,7.003690612157846,789917591264.0956,8.965488432680587
