file_id,car_id,schema,faulty_car,is_faulty,temperature_sample_count,temperature_coverage,cabin_temperature_median,raw_zero_temperature_fraction,active_cooling_fraction,temperature_relative_mean,temperature_relative_q75,temperature_relative_q90,temperature_relative_q95,temperature_positive_mean,temperature_fraction_above_0_25,temperature_fraction_above_0_50,temperature_fraction_above_1_00,target_error_relative_mean,target_error_relative_q90,temperature_longest_hot_run_fraction,temperature_score,pressure_sample_count,pressure_high_mismatch,pressure_low_mismatch,pressure_lift_mismatch,compressor_duty_mismatch,pressure_mismatch,pressure_score,combined_score
acv_case_01.xlsx,08,compact_temperature,01,False,5856.0,0.8366909558508359,24.0,0.0,0.8366909558508359,-0.059554303278688527,0.0,0.5,0.75,0.12786031420765026,0.17315573770491804,0.05037568306010929,0.005122950819672131,-0.08324795081967214,0.5,0.002714673524789256,0.5852272727272727,0.0,,,,,,,0.5852272727272727
acv_case_01.xlsx,01,compact_temperature,01,True,5802.0,0.8289755679382769,24.5,0.0035719388484069152,0.8289755679382769,0.45652361254739743,0.5,1.75,3.0,0.5433040330920372,0.4145122371596001,0.21751120303343674,0.1266804550155119,0.7699931058255773,3.5,0.015287898271181597,1.0,0.0,,,,,,,1.0
acv_case_01.xlsx,04,compact_temperature,01,False,5856.0,0.8366909558508359,24.0,0.0,0.8366909558508359,0.022754439890710382,0.25,0.5,0.5,0.1176997950819672,0.15710382513661203,0.03398224043715847,0.0006830601092896175,-0.000939207650273224,0.5,0.0010001428775539363,0.4943181818181818,0.0,,,,,,,0.4943181818181818
acv_case_01.xlsx,02,compact_temperature,01,False,5856.0,0.8366909558508359,24.0,0.0,0.8366909558508359,-0.05981045081967213,0.25,0.5,0.75,0.15142588797814208,0.19364754098360656,0.06489071038251366,0.01707650273224044,0.23241120218579234,1.0,0.005429347049578512,0.7670454545454546,0.0,,,,,,,0.7670454545454546
acv_case_01.xlsx,07,compact_temperature,01,False,5856.0,0.8366909558508359,24.0,0.0,0.8366909558508359,-0.0389771174863388,0.0,0.5,0.5,0.10625853825136612,0.14258879781420766,0.03756830601092896,0.0010245901639344263,-0.0626707650273224,0.5,0.0012858979854264896,0.45454545454545453,0.0,,,,,,,0.45454545454545453
acv_case_01.xlsx,06,compact_temperature,01,False,5856.0,0.8366909558508359,24.0,0.0,0.8366909558508359,-0.06851946721311475,0.0,0.5,0.5,0.08320525956284153,0.11816939890710383,0.01673497267759563,0.0008538251366120218,-0.09221311475409837,0.5,0.0008572653236176596,0.2556818181818182,0.0,,,,,,,0.2556818181818182
acv_case_01.xlsx,03,compact_temperature,01,False,5856.0,0.8366909558508359,24.0,0.0,0.8366909558508359,0.08055840163934426,0.25,0.5,0.5,0.1484375,0.20935792349726776,0.04627732240437159,0.0029030054644808745,0.055925546448087435,0.5,0.002571795970852979,0.6534090909090909,0.0,,,,,,,0.6534090909090909
acv_case_01.xlsx,05,compact_temperature,01,False,5856.0,0.8366909558508359,24.0,0.0,0.8366909558508359,-0.06681181693989072,0.0,0.5,0.5,0.09131659836065574,0.125,0.029371584699453553,0.0005122950819672131,-0.09050546448087432,0.5,0.0008572653236176596,0.2897727272727273,0.0,,,,,,,0.2897727272727273
acv_case_02.xlsx,08,compact_temperature,02,False,8291.0,0.9024708827691303,24.0,0.0,0.9024708827691303,-0.01797129417440598,0.25,0.5,0.5,0.1129538053310819,0.16439512724641178,0.022916415390182125,0.00036183813773971776,0.0012965866602339888,0.5,0.0009796451507565038,0.5,0.0,,,,,,,0.5
acv_case_02.xlsx,01,compact_temperature,02,False,8291.0,0.9024708827691303,24.0,0.0,0.9024708827691303,-0.06519117114943915,0.0,0.5,0.5,0.123085273187794,0.16017368230611506,0.04619466891810397,0.010010855144132191,-0.044656856832710166,0.5,0.007728311744856863,0.5625,0.0,,,,,,,0.5625
